,Año,Trimestre,Provincia,Tecnología,Accesos
471,2018,1,Río Negro,ADSL,68769.0
472,2018,1,Salta,ADSL,79936.0
473,2018,1,San Juan,ADSL,54080.0
474,2018,1,San Luis,ADSL,11104.0
475,2018,1,Santa Cruz,ADSL,18615.0
476,2018,1,Santa Fe,ADSL,341997.0
477,2018,1,Santiago Del Estero,ADSL,26788.0
478,2018,1,Tierra Del Fuego,ADSL,19372.0
479,2018,1,Tucumán,ADSL,158611.0
480,2017,4,Buenos Aires,ADSL,1241172.0
481,2017,4,Capital Federal,ADSL,571363.0
482,2017,4,Catamarca,ADSL,27083.0
483,2017,4,Chaco,ADSL,55035.0
484,2017,4,Chubut,ADSL,56378.0
485,2017,4,Córdoba,ADSL,349710.0
486,2017,4,Corrientes,ADSL,56786.0
487,2017,4,Entre Ríos,ADSL,107764.0
488,2017,4,Formosa,ADSL,23410.0
489,2017,4,Jujuy,ADSL,33844.0
490,2017,4,La Pampa,ADSL,10808.0
491,2017,4,La Rioja,ADSL,16912.0
492,2017,4,Mendoza,ADSL,152896.0
493,2017,4,Misiones,ADSL,56271.0
494,2017,4,Neuquén,ADSL,46739.0
495,2017,4,Río Negro,ADSL,68690.0
496,2017,4,Salta,ADSL,80705.0
497,2017,4,San Juan,ADSL,54079.0
498,2017,4,San Luis,ADSL,11104.0
499,2017,4,Santa Cruz,ADSL,18614.0
500,2017,4,Santa Fe,ADSL,341680.0
501,2017,4,Santiago Del Estero,ADSL,27313.0
502,2017,4,Tierra Del Fuego,ADSL,19372.0
503,2017,4,Tucumán,ADSL,156583.0
504,2017,3,Buenos Aires,ADSL,1288025.0
505,2017,3,Capital Federal,ADSL,583249.0
506,2017,3,Catamarca,ADSL,26873.0
507,2017,3,Chaco,ADSL,54888.0
508,2017,3,Chubut,ADSL,56359.0
509,2017,3,Córdoba,ADSL,344580.0
510,2017,3,Corrientes,ADSL,56247.0
511,2017,3,Entre Ríos,ADSL,107774.0
512,2017,3,Formosa,ADSL,22647.0
513,2017,3,Jujuy,ADSL,33796.0
514,2017,3,La Pampa,ADSL,11378.0
515,2017,3,La Rioja,ADSL,16638.0
516,2017,3,Mendoza,ADSL,154036.0
517,2017,3,Misiones,ADSL,56472.0
518,2017,3,Neuquén,ADSL,48001.0
519,2017,3,Río Negro,ADSL,69301.0
520,2017,3,Salta,ADSL,80782.0
521,2017,3,San Juan,ADSL,54499.0
522,2017,3,San Luis,ADSL,11407.0
523,2017,3,Santa Cruz,ADSL,19220.0
524,2017,3,Santa Fe,ADSL,322953.0
525,2017,3,Santiago Del Estero,ADSL,27733.0
526,2017,3,Tierra Del Fuego,ADSL,21587.0
527,2017,3,Tucumán,ADSL,154130.0
528,2017,2,Buenos Aires,ADSL,1378549.0
529,2017,2,Capital Federal,ADSL,615262.0
530,2017,2,Catamarca,ADSL,26401.0
531,2017,2,Chaco,ADSL,54449.0
532,2017,2,Chubut,ADSL,43994.0
533,2017,2,Córdoba,ADSL,341748.0
534,2017,2,Corrientes,ADSL,55262.0
535,2017,2,Entre Ríos,ADSL,108309.0
536,2017,2,Formosa,ADSL,22493.0
537,2017,2,Jujuy,ADSL,33742.0
538,2017,2,La Pampa,ADSL,12754.0
539,2017,2,La Rioja,ADSL,16244.0
540,2017,2,Mendoza,ADSL,153331.0
541,2017,2,Misiones,ADSL,56752.0
542,2017,2,Neuquén,ADSL,51794.0
543,2017,2,Río Negro,ADSL,67038.0
