,Localidad,Departamento,Provincia,Latitud,Longitud,Estado
260,Colonia Raquel,Castellanos,Santa Fe,"-30,83630556","-61,49011389",Conectado
261,Colonia San Jose,Tilcara,Jujuy,"-23,3936667","-65,345508",Conectado
262,Colonia San Martin,Saavedra,Buenos Aires,"-37,97597615","-62,33279726",Conectado
263,Colonia Santa Maria.,Federacion,Entre Ríos,"-30,61268889","-58,17001944",Conectado
264,Colonia Santa Maria..,Utracan,La Pampa,"-37,49518611","-64,22837778",Conectado
265,Colonia Santa Rosa,Oran,Salta,"-23,39358611","-64,41942222",Conectado
266,Colonia Wanda,Iguazu,Misiones,"-25,97164722","-54,56123611",Conectado
267,Comallo,Pilcaniyeu,Rio Negro,"-41,03466389","-70,26398056",Conectado
268,Comandante Andresito,Gral. Manuel Belgrano,Misiones,"-25,67647222","-54,04119444",Conectado
269,Concepcion,Chicligasta,Tucumán,"-27,34515438","-65,58824982",Conectado
270,Concepcion del Bermejo,Almirante Brown,Chaco,"-26,599389","-60,948417",Conectado
271,Concepcion del Uruguay,Uruguay,Entre Ríos,"-32,48446389","-58,25335",Conectado
272,Concordia,Concordia,Entre Ríos,"-31,38165833","-58,01830556",Conectado
273,Condor Huasi,Belen,Catamarca,"-27,495422","-67,095831",Conectado
274,Conesa,San Nicolas,Buenos Aires,"-33,592071","-60,357235",Conectado
275,Coneta,Capayan,Catamarca,"-28,585833","-65,890556",Conectado
276,Conscripto Bernardi,Federal,Entre Ríos,"-31,04508333","-59,08746944",Conectado
277,Coranzuli,Susques,Jujuy,"-23,01628234","-66,36539812",Conectado
278,Cordoba,Capital,Córdoba,"-31,43919444","-64,18978056",Conectado
279,Coronda,San Jeronimo,Santa Fe,"-31,96863889","-60,93243056",Conectado
280,Coronel Baigorria,Rio Cuarto,Córdoba,"-32,85049429","-64,36101665",Conectado
281,Coronel Cornejo,Gral.J. de San Martin,Salta,"-22,73898889","-63,81906667",Conectado
282,Coronel Juan Sola,Rivadavia,Salta,"-23,47294444","-62,88200556",Conectado
283,Coronel Moldes,Rio Cuarto,Córdoba,"-33,616438","-64,592501",Conectado
284,Coronel Rodolfo S. Dominguez,Rosario,Santa Fe,"-33,18281389","-60,72248056",Conectado
285,Coronel Suarez,Coronel Suarez,Buenos Aires,"-37,47297222","-61,92690833",Conectado
286,Corralito,Tercero Arriba,Córdoba,"-32,01735154","-64,19924005",Conectado
287,Correa,Iriondo,Santa Fe,"-32,84814863","-61,25543153",Conectado
288,Corrientes,Capital,Corrientes,"-27,4738916","-58,8535194",Conectado
289,Costa de Araujo,Lavalle,Mendoza,"-32,75335556","-68,40745",Conectado
290,Cote Lai,Tapenaga,Chaco,"-27,52838797","-59,57113735",Conectado
291,Country Club El Casco,Zarate,Buenos Aires,"-34,12682778","-59,08610556",Conectado
292,Coyaguayma,Rinconada,Jujuy,"-22,77222222","-66,44111111",Conectado
293,Crespo,Parana,Entre Ríos,"-32,04451111","-60,30311944",Conectado
294,Crotto,Tapalque,Buenos Aires,"-36,57603333","-60,17097778",Conectado
295,Cruce Caballero,San Pedro,Misiones,"-26,54238889","-53,94166667",Conectado
296,Cruz de Los Milagros,Lavalle,Corrientes,"-28,83697222","-59,00372222",Conectado
297,Cruz del Eje,Cruz del Eje,Córdoba,"-30,72420556","-64,80055833",Conectado
298,Cuatro Esquinas,Rosario,Santa Fe,"-33,24457778","-60,76273889",Conectado
299,Cucullu,San Andres de Giles,Buenos Aires,"-34,44530833","-59,36046944",Conectado
300,Curamalal,Coronel Suarez,Buenos Aires,"-37,48565","-62,10691667",Conectado
301,Curaru,Carlos Tejedor,Buenos Aires,"-35,64127778","-62,19375",Conectado
302,Curupayti,San Cristobal,Santa Fe,"-30,39494444","-61,65325",Conectado
