,Año,Trimestre,Provincia,Rango_Velocidad,Accesos
387,2018,4,Chaco,HASTA 512 kbps,69.0
388,2018,4,Chubut,HASTA 512 kbps,66.0
389,2018,4,Córdoba,HASTA 512 kbps,81.0
390,2018,4,Corrientes,HASTA 512 kbps,10.0
391,2018,4,Entre Ríos,HASTA 512 kbps,18.0
392,2018,4,Formosa,HASTA 512 kbps,1110.0
393,2018,4,Jujuy,HASTA 512 kbps,27.0
394,2018,4,La Pampa,HASTA 512 kbps,241.0
395,2018,4,La Rioja,HASTA 512 kbps,9.0
396,2018,4,Mendoza,HASTA 512 kbps,20.0
397,2018,4,Misiones,HASTA 512 kbps,47.0
398,2018,4,Neuquén,HASTA 512 kbps,1328.0
399,2018,4,Río Negro,HASTA 512 kbps,384.0
400,2018,4,Salta,HASTA 512 kbps,49.0
401,2018,4,San Juan,HASTA 512 kbps,22.0
402,2018,4,San Luis,HASTA 512 kbps,57.0
403,2018,4,Santa Cruz,HASTA 512 kbps,25.0
404,2018,4,Santa Fe,HASTA 512 kbps,335.0
405,2018,4,Santiago Del Estero,HASTA 512 kbps,39.0
406,2018,4,Tierra Del Fuego,HASTA 512 kbps,6.0
407,2018,4,Tucumán,HASTA 512 kbps,16.0
408,2018,3,Buenos Aires,HASTA 512 kbps,991.0
409,2018,3,Capital Federal,HASTA 512 kbps,73.0
410,2018,3,Catamarca,HASTA 512 kbps,34.0
411,2018,3,Chaco,HASTA 512 kbps,70.0
412,2018,3,Chubut,HASTA 512 kbps,67.0
413,2018,3,Córdoba,HASTA 512 kbps,81.0
414,2018,3,Corrientes,HASTA 512 kbps,11.0
415,2018,3,Entre Ríos,HASTA 512 kbps,18.0
416,2018,3,Formosa,HASTA 512 kbps,1110.0
417,2018,3,Jujuy,HASTA 512 kbps,345.0
418,2018,3,La Pampa,HASTA 512 kbps,242.0
419,2018,3,La Rioja,HASTA 512 kbps,9.0
420,2018,3,Mendoza,HASTA 512 kbps,20.0
421,2018,3,Misiones,HASTA 512 kbps,48.0
422,2018,3,Neuquén,HASTA 512 kbps,1396.0
423,2018,3,Río Negro,HASTA 512 kbps,409.0
424,2018,3,Salta,HASTA 512 kbps,116.0
425,2018,3,San Juan,HASTA 512 kbps,22.0
426,2018,3,San Luis,HASTA 512 kbps,57.0
427,2018,3,Santa Cruz,HASTA 512 kbps,26.0
428,2018,3,Santa Fe,HASTA 512 kbps,467.0
429,2018,3,Santiago Del Estero,HASTA 512 kbps,41.0
430,2018,3,Tierra Del Fuego,HASTA 512 kbps,6.0
431,2018,3,Tucumán,HASTA 512 kbps,16.0
432,2018,2,Buenos Aires,HASTA 512 kbps,1009.0
433,2018,2,Capital Federal,HASTA 512 kbps,73.0
434,2018,2,Catamarca,HASTA 512 kbps,34.0
435,2018,2,Chaco,HASTA 512 kbps,70.0
436,2018,2,Chubut,HASTA 512 kbps,67.0
437,2018,2,Córdoba,HASTA 512 kbps,81.0
438,2018,2,Corrientes,HASTA 512 kbps,11.0
439,2018,2,Entre Ríos,HASTA 512 kbps,18.0
440,2018,2,Formosa,HASTA 512 kbps,1110.0
441,2018,2,Jujuy,HASTA 512 kbps,345.0
442,2018,2,La Pampa,HASTA 512 kbps,244.0
443,2018,2,La Rioja,HASTA 512 kbps,9.0
444,2018,2,Mendoza,HASTA 512 kbps,20.0
445,2018,2,Misiones,HASTA 512 kbps,48.0
446,2018,2,Neuquén,HASTA 512 kbps,1396.0
447,2018,2,Río Negro,HASTA 512 kbps,409.0
448,2018,2,Salta,HASTA 512 kbps,116.0
449,2018,2,San Juan,HASTA 512 kbps,22.0
450,2018,2,San Luis,HASTA 512 kbps,57.0
451,2018,2,Santa Cruz,HASTA 512 kbps,26.0
452,2018,2,Santa Fe,HASTA 512 kbps,744.0
453,2018,2,Santiago Del Estero,HASTA 512 kbps,41.0
454,2018,2,Tierra Del Fuego,HASTA 512 kbps,6.0
455,2018,2,Tucumán,HASTA 512 kbps,16.0
456,2018,1,Buenos Aires,HASTA 512 kbps,1514.0
457,2018,1,Capital Federal,HASTA 512 kbps,89.0
458,2018,1,Catamarca,HASTA 512 kbps,34.0
459,2018,1,Chaco,HASTA 512 kbps,70.0
460,2018,1,Chubut,HASTA 512 kbps,67.0
461,2018,1,Córdoba,HASTA 512 kbps,281.0
462,2018,1,Corrientes,HASTA 512 kbps,11.0
463,2018,1,Entre Ríos,HASTA 512 kbps,18.0
464,2018,1,Formosa,HASTA 512 kbps,1110.0
465,2018,1,Jujuy,HASTA 512 kbps,345.0
466,2018,1,La Pampa,HASTA 512 kbps,245.0
467,2018,1,La Rioja,HASTA 512 kbps,9.0
468,2018,1,Mendoza,HASTA 512 kbps,20.0
469,2018,1,Misiones,HASTA 512 kbps,48.0
470,2018,1,Neuquén,HASTA 512 kbps,1396.0
471,2018,1,Río Negro,HASTA 512 kbps,409.0
472,2018,1,Salta,HASTA 512 kbps,116.0
473,2018,1,San Juan,HASTA 512 kbps,22.0
474,2018,1,San Luis,HASTA 512 kbps,57.0
475,2018,1,Santa Cruz,HASTA 512 kbps,26.0
476,2018,1,Santa Fe,HASTA 512 kbps,1359.0
477,2018,1,Santiago Del Estero,HASTA 512 kbps,41.0
478,2018,1,Tierra Del Fuego,HASTA 512 kbps,6.0
479,2018,1,Tucumán,HASTA 512 kbps,16.0
480,2017,4,Buenos Aires,HASTA 512 kbps,3865.0
481,2017,4,Capital Federal,HASTA 512 kbps,314.0
482,2017,4,Catamarca,HASTA 512 kbps,34.0
483,2017,4,Chaco,HASTA 512 kbps,70.0
484,2017,4,Chubut,HASTA 512 kbps,67.0
